+1.00000 +0.48387 
+1.00000 +0.00000 
+1.00000 +5.45455 
+1.00000 +1.00000 
+1.00000 +2.50000 
+1.00000 +1.82741 
+1.00000 +2.33261 
+1.00000 +0.54135 
+1.00000 +0.98226 
+1.00000 +0.98901 
+1.00000 +0.00000 
+1.00000 +0.00000 
+1.00000 +2.91892 
+1.00000 +0.93506 
+1.00000 +0.00000 
+1.00000 +0.92784 
+1.00000 +0.77810 
+1.00000 +0.00000 
+1.00000 +1.05882 
+1.00000 +3.72881 
+1.00000 +3.26531 
+1.00000 +0.00000 
+1.00000 +0.90680 
+1.00000 +2.31959 
+1.00000 +2.41071 
+1.00000 +2.03966 
+1.00000 +0.00000 
+1.00000 +1.51579 
+1.00000 +1.11455 
+1.00000 +3.19871 
+1.00000 +0.55385 
+1.00000 +0.52174 
+1.00000 +0.76759 
+1.00000 +0.94737 
+1.00000 +0.00000 
+1.00000 +0.48518 
+1.00000 +4.27972 
+1.00000 +1.05263 
+1.00000 +0.58442 
+1.00000 +0.00000 
+1.00000 +1.09422 
+1.00000 +0.65336 
+1.00000 +0.00000 
+1.00000 +1.03746 
+1.00000 +0.00000 
+1.00000 +0.46272 
+1.00000 +0.41860 
+1.00000 +0.70588 
